Título,Fecha de Publicación,URL
Podcast: Los grandes libros de periodismo narrativo de 2024,2024-12-20,https://www.elcomercio.es/podcast/el-amplificador/grandes-libros-periodismo-narrativo-2024-20241220002219-audrc.html
ASATA contribuye a reforzar el liderazgo de las mujeres emprendedoras de la ciudad de El Alto en Bolivia,2024-12-20,https://www.lavozdeasturias.es/noticia/inasturias/economiasocial/2024/12/20/asata-contribuye-reforzar-liderazgo-mujeres-emprendedoras-ciudad-alto-bolivia/00031734684229217767100.htm
"¿Dónde comer en Oviedo? Estos son los mejores restaurantes de la ciudad, según TripAdvisor",2024-12-20,https://www.lavozdeasturias.es/noticia/oviedo/voz-oviedo/2024/12/20/donde-comer-oviedo-mejores-restaurantes-ciudad-segun-tripadvisor/00031734683578690198407.htm
"'Gran Hermano 19' proclama ganador a Juan, el mueble de la edición, en una final empañada por el comportamiento de su madre",2024-12-20,https://www.abc.es/play/television/noticias/gran-hermano-proclama-ganador-juan-mueble-edicion-20241220021812-nt.html
"Con Simba y Rapunzel, el reciclaje se convierte en un juego mágico para niños",2024-12-20,https://www.abc.es/antropia/simba-rapunzel-reciclaje-convierte-juego-magico-ninos-20241220195118-nt.html
Cinco claves para una Navidad sin despilfarro,2024-12-20,https://www.abc.es/antropia/cinco-claves-navidad-despilfarro-20241220182549-nt.html
Las aristas del plástico en nuestras sociedades,2024-12-20,https://www.abc.es/antropia/arturo-romero-aristas-plastico-sociedades-20241220103647-nt.html
"El CNI advierte de una multiplicación de los cibercriminales, que tienen a las pymes y los servicios críticos como objetivos",2024-12-20,https://www.lne.es/espana/2024/12/20/cni-advierte-multiplicacion-cibercriminales-pymes-infraestructuras-ciberataques-112799028.html
Pollo asado al horno con patatas. Receta fácil,2024-12-20,https://recetasdecocina.elmundo.es/2024/12/pollo-asado-al-horno-con-patatas-receta-facil.html
China amplía sus inversiones verdes en África,2024-12-20,https://www.larazon.es/medio-ambiente/china-amplia-sus-inversiones-verdes-africa_2024122067654390af21750001fc7e4f.html
Análisis de ciclo de vida para reducir el impacto ambiental de casi todo,2024-12-20,https://www.larazon.es/emergente/analisis-ciclo-vida-reducir-impacto-ambiental-casi-todo_202412206765402e4f1fb7000197fec1.html
"Finalizan las obras del saneamiento de Lamuño, en Santa Marta Carbayín",2024-12-21,https://www.lavozdeasturias.es/noticia/siero/2024/12/21/finalizan-obras-saneamiento-lamuno-santa-marta-carbayin/00031734784601305658385.htm
Todas las IMÁGENES del Real Oviedo-Córdoba disputado en el Carlos Tartiere,2024-12-21,https://www.lne.es/fotos/real-oviedo/2024/12/21/imagenes-real-oviedo-cordoba-disputado-112829500.html
EN IMÁGENES: El Sporting-Málaga disputado en El Molinón,2024-12-21,https://www.lne.es/fotos/sporting/2024/12/21/imagenes-sporting-malaga-disputado-molinon-112833044.html
